"","participant","condition","mean_dev"
"611","mon27","trochee",-0.46
"612","mon27","unpredictable",-0.463333333333333
"613","mon28","spondee",-0.06
"614","mon28","stressed_spondee",-0.0361111111111111
"615","mon28","trochee",-0.22952380952381
"616","mon28","unpredictable",-0.0888888888888889
"617","mon29","spondee",0.035
"618","mon29","stressed_spondee",-0.0770833333333333
"619","mon29","trochee",-0.0696296296296296
"620","mon29","unpredictable",-0.0566666666666667
"621","mon30","spondee",-0.03
"622","mon30","stressed_spondee",-0.05
"623","mon30","trochee",-0.294761904761905
"624","mon30","unpredictable",-0.335416666666667
